Game ID,Date,Time,Venue,Sub-Venue,Age Group,Gender,Home Team,Away Team,League,Game Type,Pattern,Paid By,Assignor Name,Notes,Assignor Notes
,May 18 2026,5:45 PM,Tee-Joe Gonzales Park,Aldridge 1,9U DYB,,7 Seed,10 Seed,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 1,
,May 18 2026,5:45 PM,Tee-Joe Gonzales Park,Bourque 2,10U DYB,,3 Seed,6 Seed,,,,,,Tournament: 10 Year Old Diamond City Tournament; Game: 1,
,May 18 2026,5:45 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,6 Seed,11 Seed,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 1,
,May 18 2026,7:15 PM,Tee-Joe Gonzales Park,Aldridge 1,9U DYB,,8 Seed,9 Seed,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 2,
,May 18 2026,7:15 PM,Tee-Joe Gonzales Park,Bourque 2,10U DYB,,4 Seed,5 Seed,,,,,,Tournament: 10 Year Old Diamond City Tournament; Game: 2,
,May 18 2026,7:15 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,7 Seed,10 Seed,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 2,
,May 18 2026,5:45 PM,Tee-Joe Gonzales Park,Berthelot Field,12U DYB,,8 Seed,9 Seed,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 3,
,May 18 2026,7:15 PM,Tee-Joe Gonzales Park,Berthelot Field,12U DYB,,4 Seed,5 Seed,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 4,
,May 19 2026,5:45 PM,Tee-Joe Gonzales Park,Aldridge 1,9U DYB,,1 Seed,Winner 1,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 4,
,May 19 2026,7:15 PM,Tee-Joe Gonzales Park,Aldridge 1,9U DYB,,4 Seed,5 Seed,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 5,
,May 19 2026,5:45 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,3 Seed,Winner 2,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 5,
,May 19 2026,5:45 PM,Tee-Joe Gonzales Park,Bourque 2,9U DYB,,3 Seed,6 Seed,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 6,
,May 19 2026,7:15 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,2 Seed,Winner 1,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 6,
,May 19 2026,7:15 PM,Tee-Joe Gonzales Park,Bourque 2,9U DYB,,2 Seed,Winner 2,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 7,
,May 19 2026,6:30 PM,Tee-Joe Gonzales Park,Berthelot Field,12U DYB,,1 Seed,Winner 3,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 7,
,May 20 2026,5:45 PM,Tee-Joe Gonzales Park,Bourque 2,9U DYB,,Winner 4,Winner 5,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 8,
,May 20 2026,5:45 PM,Tee-Joe Gonzales Park,Berthelot Field,10U DYB,,1 Seed,Winner 1,,,,,,Tournament: 10 Year Old Diamond City Tournament; Game: 3,
,May 20 2026,5:45 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,Winner 7,Winner 4,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 8,
,May 20 2026,7:15 PM,Tee-Joe Gonzales Park,Bourque 2,9U DYB,,Winner 6,Winner 7,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 9,
,May 20 2026,7:15 PM,Tee-Joe Gonzales Park,Berthelot Field,10U DYB,,2 Seed,Winner 2,,,,,,Tournament: 10 Year Old Diamond City Tournament; Game: 4,
,May 20 2026,7:15 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,Winner 5,Winner 6,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 9,
,May 21 2026,5:45 PM,Tee-Joe Gonzales Park,Bourque 2,9U DYB,,Loser 8,Loser 9,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 10,
,May 21 2026,5:45 PM,Tee-Joe Gonzales Park,Berthelot Field,10U DYB,,Loser 3,Loser 4,,,,,,Tournament: 10 Year Old Diamond City Tournament; Game: 5,
,May 21 2026,5:45 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,Loser 8,Loser 9,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 10,
,May 21 2026,7:15 PM,Tee-Joe Gonzales Park,Bourque 2,9U DYB,,Winner 8,Winner 9,,,,,,Tournament: 9 Year Old Diamond City Tournament; Game: 11,
,May 21 2026,7:15 PM,Tee-Joe Gonzales Park,Berthelot Field,10U DYB,,Winner 3,Winner 4,,,,,,Tournament: 10 Year Old Diamond City Tournament; Game: 6,
,May 21 2026,7:15 PM,Tee-Joe Gonzales Park,Patterson Field,12U DYB,,Winner 8,Winner 9,,,,,,Tournament: 11/12 Year Old Diamond CityTournament; Game: 11,
,May 18 2026,6:00 PM,Stevens Park,3,7U CP,,8 Seed,9 Seed,,,,,,Tournament: 7 Year Old Coaches Pitch Parish Tournament; Game: 1,
,May 18 2026,6:00 PM,Stevens Park,4,8U CP,,8 Seed,9 Seed,,,,,,Tournament: 8 Year Old Coaches Pitch Parish Tournament; Game: 1,
,May 18 2026,7:15 PM,Stevens Park,3,7U CP,,7 Seed,10 Seed,,,,,,Tournament: 7 Year Old Coaches Pitch Parish Tournament; Game: 2,
