TEEJOE,,,,,,,,,,,,,,,,
9 Year Old Diamond City Tournament,,,,,,10 Year Old Diamond City Tournament,,,,,,11/12 Year Old Diamond CityTournament,,,,
,,,,,,,,,,,,,,,,
Monday May 18th,,,,,,Monday May 18th,,,,,,Monday May 18th,,,,
Game,Field,Time,Home,Visitor,,Game,Field,Time,Home,Visitor,,Game,Field,Time,Home,Visitor
1,Aldridge (1),5:45 PM,7 Seed,10 Seed,,1,Bourque (2),5:45 PM,3 Seed,6 Seed,,1,Patterson,5:45 PM,6 Seed,11 Seed
2,Aldridge (1),7:15 PM,8 Seed,9 Seed,,2,Bourque (2),7:15 PM,4 Seed,5 Seed,,2,Patterson,7:15 PM,7 Seed,10 Seed
,,,,,,,,,,,,3,Berthelot,5:45 PM,8 Seed,9 Seed
,,,,,,,,,,,,4,Berthelot,7:15 PM,4 Seed,5 Seed
Tuesday May 19th,,,,,,,,,,,,,,,,
4,Aldridge (1),5:45 PM,1 Seed,Winner 1,,,,,,,,Tuesday May 19th,,,,
5,Aldridge (1),7:15 PM,4 Seed,5 Seed,,,,,,,,5,Patterson,5:45 PM,3 Seed,Winner 2
6,Bourque (2),5:45 PM,3 Seed,6 Seed,,,,,,,,6,Patterson,7:15 PM,2 Seed,Winner 1
7,Bourque (2),7:15 PM,2 Seed,Winner 2,,,,,,,,7,Berthelot,6:30 PM,1 Seed,Winner 3
,,,,,,,,,,,,,,,,
Wednesday May 20th,,,,,,Wednesday May 20th,,,,,,Wednesday May 20th,,,,
8,Bourque (2),5:45 PM,Winner 4,Winner 5,,3,Berthelot,5:45 PM,1 Seed,Winner 1,,8,Patterson,5:45 PM,Winner 7,Winner 4
9,Bourque (2),7:15 PM,Winner 6,Winner 7,,4,Berthelot,7:15 PM,2 Seed,Winner 2,,9,Patterson,7:15 PM,Winner 5,Winner 6
,,,,,,,,,,,,,,,,
Thursday May 21st,,,,,,Thursday May 21st,,,,,,Thursday May 21st,,,,
10,Bourque (2),5:45 PM,Loser 8,Loser 9,,5,Berthelot,5:45 PM,Loser 3,Loser 4,,10,Patterson,5:45 PM,Loser 8,Loser 9
11,Bourque (2),7:15 PM,Winner 8,Winner 9,,6,Berthelot,7:15 PM,Winner 3,Winner 4,,11,Patterson,7:15 PM,Winner 8,Winner 9
,,,,,,,,,,,,,,,,
,,,,,,STEVENS,,,,,,,,,,
6 Year Old Coaches Pitch Parish Tournament,,,,,,7 Year Old Coaches Pitch Parish Tournament,,,,,,8 Year Old Coaches Pitch Parish Tournament,,,,
,,,,,,,,,,,,,,,,
,,,,,,Monday May 18th,,,,,,Monday May 18th,,,,
,,,,,,Game,Field (Stevens),Time,Home,Visitor,,Game,Field (Stevens),Time,Home,Visitor
,,,,,,1,3,6:00 PM,8 Seed,9 Seed,,1,4,6:00 PM,8 Seed,9 Seed
,,,,,,2,3,7:15 PM,7 Seed,10 Seed,,2,4,7:15 PM,7 Seed,10 Seed
,,,,,,,,,,,,,,,,
Tuesday May 19th,,,,,,Tuesday May 19th,,,,,,Tuesday May 19th,,,,
Game,Field,Time,Home,Visitor,,3,3,6:00 PM,1st Seed,Winner Game 1,,3,2,6:00 PM,1st Seed,Winner Game 1
1,Stevens 5,6:00 PM,2 Seed,3 seed,,4,3,7:15 PM,4 Seed,5 Seed,,4,2,7:15 PM,4 Seed,5 Seed
2,Stevens 5,7:15 PM,1 Seed,4 Seed,,5,4,6:00 PM,3 Seed,6 Seed,,5,6,6:00 PM,3 Seed,6 Seed
,,,,,,6,4,7:15 PM,2nd Seed,Winner Game 2,,6,6,7:15 PM,2nd Seed,Winner Game 2
,,,,,,,,,,,,,,,,
,,,,,,Wednesday May 20th,,,,,,Wednesday May 20th,,,,
,,,,,,7,3,6:00 PM,Winner 3,Winner 4,,7,4,6:00 PM,Winner 3,Winner 4
,,,,,,8,3,7:15 PM,Winner 5,Winner 6,,8,4,7:15 PM,Winner 5,Winner 6
,,,,,,9,2,6:00 PM,Loser 3,Loser 4,,9,1,6:00 PM,Loser 3,Loser 4
,,,,,,10,2,7:15 PM,Loser 5,Loser 6,,10,1,7:15 PM,Loser 5,Loser 6
,,,,,,11,6,6:00 PM,Loser 1,Loser 2,,11,6,7:15 PM,Loser 1,Loser 2
,,,,,,,,,,,,,,,,
Thursday May 21st,,,,,,Thursday May 21st,,,,,,Thursday May 21st,,,,
3,Stevens 5,6:00 PM,Loser 1,Loser 2,,12,3,6:00 PM,Winner 7,Winner 8,,12,3,7:15 PM,Winner 7,Winner 8
4,Stevens 5,7:15 PM,Winner 1,Winner 2,,13,4,6:00 PM,Loser 7,Loser 8,,13,4,7:15 PM,Loser 7,Loser 8
,,,,,,,,,,,,,,,,
CLOUATRE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13-14 Year Old DBB Parish Tournament,,,,,,15-17 Year Old Dixie Pre Majors Parish Tournament,,,,,,,,,,
,,,,,,,,,,,,,,,,
Monday May 18th,,,,,,Monday May 18th,,,,,,,,,,
Game,Field,Time,Home,Visitor,,Game,Field,Time,Home,Visitor,,,,,,
1,Clouatre 1,5:45 PM,2 Seed,3 seed,,1,Clouatre 2,5:45 PM,2 Seed,3 seed,,,,,,
